 -0.423174018E-14 0.824368575E-15-0.475061123E-15-0.906935748E-14 00000
  0.297782242    -0.580097814E-01 0.334294546E-01 0.638199296     10000
  -1.53130429     0.152909596E-01-0.881176290E-02-0.168224727     01000
 -0.168295697E-15-0.777383599     0.299528811    -0.266192832E-15 00100
  0.805252810E-15  1.58973208     -1.89889594     0.100382934E-14 00010
  0.355868235    -0.842772508E-01 0.485666807E-01 0.927182983     00001
 -0.592162318     0.151112212    -0.917335582E-01 -1.29952029     20000
   3.09495075    -0.770302967     0.491633844      8.71649013     11000
 -0.308064890    -0.398693088E-01-0.997301718E-01-0.707311441     02000
  0.118427569E-01  3.64567927    -0.710219016     0.187316553E-01 10100
 -0.608997508E-01 -1.16406005     0.276364000    -0.963249650E-01 01100
  0.137389469E-02-0.246053545E-03-0.218742199E-02 0.309885034E-02 00200
 -0.566646290E-01 -38.1501942      7.24320427    -0.706382101E-01 10010
  0.291390073      10.6901705     -1.82332564     0.363247295     01010
  0.688397524E-01-0.674549733E-01 0.382194118E-01 0.160869843     00110
  -1.89302417     0.369619627    -0.233086156     -3.16026870     10001
   4.68077290     -1.06202219     0.715132742      12.7989155     01001
  0.196818378E-01  5.29053934     -1.02917090     0.368739336E-01 00101
 -0.406652736     0.373283364    -0.117360219    -0.437612121     00020
 -0.102832252     -55.7429896      10.6522430    -0.176432548     00011
  -1.50035315     0.221840984    -0.145169670     -1.84842788     00002
   2.90509181    -0.681072428     0.413943604      5.77818539     30000
  -25.8871526      6.26098073     -3.83074241     -59.2362970     21000
   63.1226867     -16.0479495      9.83943020      178.315996     12000
  -34.4518569      9.55360439     -5.57535356     -105.529297     03000
 -0.101597918     -15.3305177      3.00892143    -0.176243434     20100
  0.633027254      91.7083719     -17.5542023      1.19323214     11100
 -0.570670562     -103.465449      19.2409287     -1.47872714     02100
  0.634145808    -0.376565102E-01 0.898165090E-01  1.81782005     10200
  -3.28994632     0.299987626    -0.390851930     -9.40297826     01200
  0.546395937E-04 -2.38405449     0.448699174     0.864232920E-04 00300
  0.661343111      160.033535     -31.2885793      1.14325571     20010
  -3.87552333     -946.630717      180.974503     -7.07469916     11010
   2.45071324      1084.52263     -206.170068      6.16081998     02010
  -13.4794637      1.69732249     -1.95736218     -38.1435489     10110
   68.5382356     -9.78046129      8.77624396      194.871668     01110
  0.247631024E-02  75.9422798     -14.4691900     0.400437931E-02 00210
   12.6247274     -2.52730955      1.57248112      21.5571301     20001
  -73.9944836      15.5758866     -9.74696599     -145.738547     11001
   89.5025502     -20.9218236      12.9578460      233.252223     02001
 -0.332979791     -38.2329808      7.56327295    -0.561714675     10101
   1.00383675      119.827297     -23.1665417      1.79440897     01101
  0.867923610     0.645650497E-01 0.827361109E-01  1.93498121     00201
   70.9090290     -13.5558811      10.5538824      199.097518     10020
  -359.660257      70.0931973     -49.2063787     -1013.96024     01020
 -0.292719554E-01 -803.928124      154.085049    -0.419098052E-01 00120
   2.18002085      401.984903     -79.2083857      3.76528880     10011
  -6.17430056     -1241.91740      239.237299     -11.0819340     01011
  -18.7390771     0.179432422     -1.91396715     -41.3235391     00111
   18.4127727     -3.18427729      2.03879731      27.7952043     10002
  -54.3961181      9.93282396     -6.37778624     -92.4951209     01002
 -0.271909674     -24.9403322      4.95114779    -0.434685601     00102
  0.773814658E-01  2823.91111     -543.373624     0.964638493E-01 00030
   99.7965909     -8.91411418      10.8372514      219.408356     00021
   1.79235948      264.431810     -52.4149509      2.99039984     00012
   8.98941547     -1.35683848     0.898808996      12.3415102     00003
  -16.5827317      3.70126974     -2.26153703     -31.1224261     40000
   200.906234     -45.9319018      28.1788245      409.710067     31000
  -817.345243      192.645485     -118.614419     -1859.74822     22000
   1248.16966     -304.847294      188.092625      3263.74158     13000
  -534.720001      132.422207     -81.7867590     -1472.53037     04000
  0.848500054      67.9475676     -13.4735635      1.47107109     30100
  -7.92948451     -611.543931      119.926279     -14.7439055     21100
   21.6330710      1473.74998     -285.054423      44.4532064     12100
  -16.8649153     -672.937174      129.694503     -38.6354886     03100
  -4.68287254    -0.453414602    -0.463315621     -9.87539239     20200
   33.8553287      2.48870366      3.25708472      77.7028359     11200
  -50.0327249     -1.81115711     -5.39125406     -138.249083     02200
  0.669529772E-01  14.8206051     -2.91770267     0.124251978     10300
 -0.346798087     -57.1670628      11.1125360    -0.642757468     01300
  0.344051796E-02-0.191681168E-01-0.677082841E-02 0.958103489E-02 00400
  -5.90559676     -713.751643      140.944150     -10.2093646     30010
   53.3466955      6360.81856     -1241.44871      98.6180235     21010
  -138.688112     -15127.8108      2908.43765     -280.606813     12010
   105.026471      6599.64481     -1258.73574      222.606650     03010
   97.5637162      2.15779707      10.6499041      205.579021     20110
  -696.148066      1.81396175     -75.1745804     -1596.78114     11110
   1008.66754     -46.9109426      123.108459      2787.52545     02110
  -1.90319779     -471.142236      92.4572809     -3.47314730     10210
   9.70468973      1765.74666     -341.387944      17.7368057     01210
  0.753919889E-01 0.629567188     0.284980255     0.228775161     00310
  -93.2151981      18.7607150     -11.6514172     -159.582903     30001
   842.632295     -174.677435      108.854102      1567.11187     21001
  -2275.71018      493.339176     -307.819783     -4749.28432     12001
   1728.43368     -401.927932      250.087364      4313.46272     03001
   3.91744400      262.172691     -52.0049864      6.52771884     20101
  -23.8636120     -1600.27664      314.118329     -42.6500303     11101
   31.9533545      2004.62979     -387.484785      63.3734034     02101
  -13.3395959     -2.26035740    -0.951056401     -24.3794611     10201
   48.5708004      6.14080022      3.54138170      94.3146436     01201
  0.106295650      17.4541232     -3.44303316     0.207776191     00301
  -501.584815      25.9510655     -59.8077619     -1056.93181     20020
   3553.91799     -285.423288      426.309365      8144.64710     11020
  -5068.05048      677.670168     -693.991438     -14009.7422     02020
   17.4003419      4940.58200     -965.584146      31.1681275     10120
  -88.1882773     -18119.3783      3484.00545     -158.273053     01120
  -3.55611757     -7.02205567     -4.35606494     -10.2315081     00220
  -27.3784003     -2763.91816      546.441021     -45.9465688     20011
   160.493646      16704.6162     -3266.73100      289.094747     11011
  -203.818351     -20658.6998      3972.10047     -407.810923     02011
   279.219362      25.1875261      23.1938351      510.427430     10111
  -1005.01969     -49.0895089     -85.7459150     -1956.19429     01111
  -3.05524257     -563.152461      110.800142     -5.89481936     00211
  -197.900014      36.1859236     -22.8855640     -312.921942     20002
   1190.77591     -224.924311      142.606614      2041.09082     11002
  -1602.78073      319.425559     -202.417462     -3076.37502     02002
   6.03719422      344.978563     -68.3814260      9.58801136     10102
  -18.1046462     -1067.53840      209.737209     -30.9464177     01102
  -9.30502481     -2.21646215    -0.456274237     -15.2624181     00202
  -51.1635763     -17128.8200      3332.27497     -89.3625457     10030
   258.936393      61788.8634     -11811.8002      452.928026     01030
   34.1199507      28.8812370      28.5957037      96.9528069     00130
  -1442.85246     -17.7849734     -136.402662     -2640.50781     10021
   5166.79568     -153.703714      505.284812      10072.2067     01021
   28.2564689      5985.36361     -1173.17222      53.9473476     00121
  -42.4008487     -3650.74415      721.970944     -68.2777049     10012
   121.929455      11179.9190     -2190.31834      212.013952     01012
   195.953038      29.9601022      12.1913750      320.964259     00112
